07-Sep-2023 21:15:00 - num of feature = 2308
07-Sep-2023 21:15:03 - iter: 1/70 time: 0.712s fit: 0.12221
07-Sep-2023 21:15:03 - iter: 2/70 time: 0.624s fit: 0.11308
07-Sep-2023 21:15:04 - iter: 3/70 time: 0.644s fit: 0.099391
07-Sep-2023 21:15:05 - iter: 4/70 time: 0.691s fit: 0.086982
07-Sep-2023 21:15:05 - iter: 5/70 time: 0.574s fit: 0.07977
07-Sep-2023 21:15:06 - iter: 6/70 time: 0.575s fit: 0.072342
07-Sep-2023 21:15:06 - iter: 7/70 time: 0.566s fit: 0.064232
07-Sep-2023 21:15:07 - iter: 8/70 time: 0.606s fit: 0.06009
07-Sep-2023 21:15:08 - iter: 9/70 time: 0.573s fit: 0.058608
07-Sep-2023 21:15:08 - iter: 10/70 time: 0.585s fit: 0.05403
07-Sep-2023 21:15:09 - iter: 11/70 time: 0.576s fit: 0.055666
07-Sep-2023 21:15:09 - iter: 12/70 time: 0.583s fit: 0.054148
07-Sep-2023 21:15:10 - iter: 13/70 time: 0.572s fit: 0.053833
07-Sep-2023 21:15:10 - iter: 14/70 time: 0.587s fit: 0.054716
07-Sep-2023 21:15:11 - iter: 15/70 time: 0.656s fit: 0.046478
07-Sep-2023 21:15:12 - iter: 16/70 time: 0.576s fit: 0.042881
07-Sep-2023 21:15:12 - iter: 17/70 time: 0.578s fit: 0.04252
07-Sep-2023 21:15:13 - iter: 18/70 time: 0.572s fit: 0.040266
07-Sep-2023 21:15:13 - iter: 19/70 time: 0.58s fit: 0.03882
07-Sep-2023 21:15:14 - iter: 20/70 time: 0.591s fit: 0.036937
07-Sep-2023 21:15:15 - iter: 21/70 time: 0.567s fit: 0.037383
07-Sep-2023 21:15:15 - iter: 22/70 time: 0.569s fit: 0.039879
07-Sep-2023 21:15:16 - iter: 23/70 time: 0.576s fit: 0.036263
07-Sep-2023 21:15:16 - iter: 24/70 time: 0.577s fit: 0.032234
07-Sep-2023 21:15:17 - iter: 25/70 time: 0.576s fit: 0.033767
07-Sep-2023 21:15:17 - iter: 26/70 time: 0.56s fit: 0.031119
07-Sep-2023 21:15:18 - iter: 27/70 time: 0.565s fit: 0.031367
07-Sep-2023 21:15:19 - iter: 28/70 time: 0.575s fit: 0.031313
07-Sep-2023 21:15:19 - iter: 29/70 time: 0.555s fit: 0.031225
07-Sep-2023 21:15:20 - iter: 30/70 time: 0.565s fit: 0.035844
07-Sep-2023 21:15:20 - iter: 31/70 time: 0.562s fit: 0.030373
07-Sep-2023 21:15:21 - iter: 32/70 time: 0.563s fit: 0.030318
07-Sep-2023 21:15:21 - iter: 33/70 time: 0.583s fit: 0.029764
07-Sep-2023 21:15:22 - iter: 34/70 time: 0.569s fit: 0.02745
07-Sep-2023 21:15:23 - iter: 35/70 time: 0.554s fit: 0.030293
07-Sep-2023 21:15:23 - iter: 36/70 time: 0.565s fit: 0.030789
07-Sep-2023 21:15:24 - iter: 37/70 time: 0.578s fit: 0.02646
07-Sep-2023 21:15:24 - iter: 38/70 time: 0.562s fit: 0.025354
07-Sep-2023 21:15:25 - iter: 39/70 time: 0.563s fit: 0.025334
07-Sep-2023 21:15:25 - iter: 40/70 time: 0.564s fit: 0.027968
07-Sep-2023 21:15:26 - iter: 41/70 time: 0.562s fit: 0.028494
07-Sep-2023 21:15:27 - iter: 42/70 time: 0.555s fit: 0.025331
07-Sep-2023 21:15:27 - iter: 43/70 time: 0.564s fit: 0.026399
07-Sep-2023 21:15:28 - iter: 44/70 time: 0.557s fit: 0.028788
07-Sep-2023 21:15:28 - iter: 45/70 time: 0.553s fit: 0.030129
07-Sep-2023 21:15:29 - iter: 46/70 time: 0.573s fit: 0.031784
07-Sep-2023 21:15:29 - iter: 47/70 time: 0.556s fit: 0.030505
07-Sep-2023 21:15:30 - iter: 48/70 time: 0.572s fit: 0.02774
07-Sep-2023 21:15:30 - iter: 49/70 time: 0.564s fit: 0.028932
07-Sep-2023 21:15:31 - iter: 50/70 time: 0.565s fit: 0.02864
07-Sep-2023 21:15:32 - iter: 51/70 time: 0.558s fit: 0.028864
07-Sep-2023 21:15:32 - iter: 52/70 time: 0.563s fit: 0.028762
07-Sep-2023 21:15:33 - iter: 53/70 time: 0.561s fit: 0.026257
